"symbol"	"log2fc"	"pv"	"fdr"	"sv"	"dataset_id"	"dataset_annot"
"Wfdc2"	1.14906618	0.0155	0.4011866	1.80966830182971	"GSE22873"	"myd88_liver"
"Ubr2"	1.14837117	0.02	0.410596	1.69897000433602	"GSE22873"	"myd88_liver"
"Myrf"	1.14038566	0.00214	0.3185597	2.66958622665081	"GSE22873"	"myd88_liver"
"Rrm2"	1.13290728	2.69e-05	0.1012006	4.57024771999759	"GSE22873"	"myd88_liver"
"Pgpep1"	1.13010028	0.00159	0.2902648	2.79860287567955	"GSE22873"	"myd88_liver"
"Raet1e///Raet1d///Raet1c///Raet1b///Raet1a"	1.12985209	0.0015	0.2865759	2.82390874094432	"GSE22873"	"myd88_liver"
"Mid1ip1"	1.12564108	0.000201	0.2141381	3.69680394257951	"GSE22873"	"myd88_liver"
"Fam214a"	1.12342331	0.00858	0.3823374	2.06651271215129	"GSE22873"	"myd88_liver"
"Fzd5"	1.12036565	0.00179	0.3046709	2.74714696902011	"GSE22873"	"myd88_liver"
"Foxo4"	1.11769171	0.00102	0.2623087	2.99139982823808	"GSE22873"	"myd88_liver"
"Tmtc2"	1.11454656	0.00422	0.3538968	2.37468754903833	"GSE22873"	"myd88_liver"
"Cdk6"	1.10397009	0.0233	0.4163452	1.63264407897398	"GSE22873"	"myd88_liver"
"Saa3"	1.09490312	0.0136	0.3935117	1.86646109162978	"GSE22873"	"myd88_liver"
"Rere"	1.07916901	0.0157	0.4011866	1.80410034759077	"GSE22873"	"myd88_liver"
"Nsd1"	1.07641957	0.00595	0.3764946	2.22548303427145	"GSE22873"	"myd88_liver"
"Mier3"	1.07601865	0.00833	0.3823374	2.07935499859321	"GSE22873"	"myd88_liver"
"Ppara"	1.0753514	0.0186	0.4059269	1.73048705578208	"GSE22873"	"myd88_liver"
"Tbc1d2b"	1.06978051	0.00369	0.3538968	2.43297363384094	"GSE22873"	"myd88_liver"
"Lyst"	1.06944245	0.000783	0.2505349	3.10623823794206	"GSE22873"	"myd88_liver"
"Crebbp"	1.06824531	0.00756	0.3823374	2.12147820449879	"GSE22873"	"myd88_liver"
"C2cd2l"	1.06758275	0.000933	0.2597681	3.0301183562535	"GSE22873"	"myd88_liver"
"Il1rap"	1.06424185	5.08e-05	0.1314975	4.29413628771608	"GSE22873"	"myd88_liver"
"Gpatch8"	1.06346138	0.0121	0.3935117	1.91721462968355	"GSE22873"	"myd88_liver"
"Ar"	1.06132296	0.00494	0.3614747	2.30627305107635	"GSE22873"	"myd88_liver"
"Sparcl1"	1.05981602	0.00307	0.3449019	2.51286162452281	"GSE22873"	"myd88_liver"
"Jup"	1.05575657	0.00186	0.3131878	2.73048705578208	"GSE22873"	"myd88_liver"
"Ppl"	1.05407158	0.0345	0.4440735	1.46218090492673	"GSE22873"	"myd88_liver"
"Trrap"	1.05399832	0.0223	0.4146121	1.65169513695184	"GSE22873"	"myd88_liver"
"Fndc3b"	1.04555447	0.0379	0.4525202	1.42136079003193	"GSE22873"	"myd88_liver"
"Unc13b"	1.04417129	0.000109	0.1914027	3.96257350205938	"GSE22873"	"myd88_liver"
"Msl1"	1.03839584	0.00844	0.3823374	2.07365755337434	"GSE22873"	"myd88_liver"
"Kcnt2"	1.03611049	0.0155	0.4011866	1.80966830182971	"GSE22873"	"myd88_liver"
"Kif13b"	1.03317561	0.0444	0.4639752	1.35261702988538	"GSE22873"	"myd88_liver"
"Egr1"	1.02315885	0.022	0.4134644	1.65757731917779	"GSE22873"	"myd88_liver"
"Fbf1"	1.02281161	0.0423	0.4579657	1.37365963262496	"GSE22873"	"myd88_liver"
"Notch2"	1.01940232	0.0178	0.4046661	1.74957999769111	"GSE22873"	"myd88_liver"
"Gpc1"	1.01911626	0.000553	0.2268634	3.2572748686953	"GSE22873"	"myd88_liver"
"Fzd8"	1.01723538	0.0235	0.4168667	1.62893213772826	"GSE22873"	"myd88_liver"
"Flnb"	1.01626113	0.0383	0.4525428	1.41680122603138	"GSE22873"	"myd88_liver"
"Asb7"	1.01602413	0.0405	0.4578636	1.39254497678533	"GSE22873"	"myd88_liver"
"Lrp6"	1.000836	0.0303	0.4361788	1.51855737149769	"GSE22873"	"myd88_liver"
"Sap130"	1.00083437	0.000609	0.2355644	3.21538270736712	"GSE22873"	"myd88_liver"
"Fem1c"	0.99989619	0.000327	0.2141381	3.48545224733971	"GSE22873"	"myd88_liver"
"Plekhb1"	0.99890043	0.000132	0.198554	3.87942606879415	"GSE22873"	"myd88_liver"
"Dclre1a"	0.99762058	0.0377	0.4525081	1.42365864979421	"GSE22873"	"myd88_liver"
"Celf1"	0.995749	0.00758	0.3823374	2.12033079436795	"GSE22873"	"myd88_liver"
"Zswim8"	0.99308527	0.0347	0.444196	1.45967052520913	"GSE22873"	"myd88_liver"
"Atp2b1"	0.99074832	0.0357	0.4475112	1.44733178388781	"GSE22873"	"myd88_liver"
"Lrrc28"	0.98955841	0.029	0.4325283	1.53760200210104	"GSE22873"	"myd88_liver"
"Kank1"	0.98598563	0.000244	0.2141381	3.61261017366127	"GSE22873"	"myd88_liver"
"Sowahb"	0.98211275	0.00223	0.321528	2.65169513695184	"GSE22873"	"myd88_liver"
"Zbtb20"	0.9803438	0.0478	0.4705474	1.32057210338788	"GSE22873"	"myd88_liver"
"Mycl"	0.97636934	0.00317	0.3476839	2.49894073778225	"GSE22873"	"myd88_liver"
"Card10"	0.97575437	0.00913	0.3823374	2.0395292224657	"GSE22873"	"myd88_liver"
"Sbk1"	0.97431147	0.0483	0.4707553	1.31605286924849	"GSE22873"	"myd88_liver"
"Cers6"	0.9741351	0.0109	0.3869928	1.96257350205938	"GSE22873"	"myd88_liver"
"Ephb4"	0.97369836	0.0418	0.4579657	1.37882371822496	"GSE22873"	"myd88_liver"
"Rcor1"	0.97356993	0.0255	0.4239239	1.59345981956604	"GSE22873"	"myd88_liver"
"Phf2"	0.96869176	0.017	0.403317	1.76955107862173	"GSE22873"	"myd88_liver"
"Mef2d"	0.96446492	0.0194	0.4085006	1.71219827006977	"GSE22873"	"myd88_liver"
"Arhgdia"	0.96325278	0.00691	0.3823374	2.1605219526258	"GSE22873"	"myd88_liver"
"Pitpnc1"	0.96184101	0.0239	0.4182238	1.62160209905186	"GSE22873"	"myd88_liver"
"Slc25a44"	0.95864209	0.0198	0.410596	1.70333480973847	"GSE22873"	"myd88_liver"
"Trio"	0.95770103	0.0159	0.4011866	1.79860287567955	"GSE22873"	"myd88_liver"
"Pcnx3"	0.95240124	0.00517	0.3699114	2.28650945690606	"GSE22873"	"myd88_liver"
"Cadps2"	0.94862711	0.0154	0.4011866	1.81247927916354	"GSE22873"	"myd88_liver"
"Tram2"	0.94547169	0.0152	0.4011866	1.81815641205523	"GSE22873"	"myd88_liver"
"Cds2"	0.94449046	0.0306	0.4370305	1.51427857351842	"GSE22873"	"myd88_liver"
"Irf2bp2"	0.94111729	0.0177	0.4045251	1.75202673363819	"GSE22873"	"myd88_liver"
"Dip2c"	0.93758839	0.0199	0.410596	1.70114692359029	"GSE22873"	"myd88_liver"
"Nr4a1"	0.93634734	0.0107	0.3869928	1.97061622231479	"GSE22873"	"myd88_liver"
"Atp11a"	0.93042492	0.0187	0.4060806	1.7281583934635	"GSE22873"	"myd88_liver"
"Zfp106"	0.93011758	0.00323	0.350688	2.4907974776689	"GSE22873"	"myd88_liver"
"Icmt"	0.92974888	0.0455	0.4649545	1.34198860334289	"GSE22873"	"myd88_liver"
"Bcr"	0.92882055	0.0187	0.4060806	1.7281583934635	"GSE22873"	"myd88_liver"
"Eppk1"	0.92640738	0.00555	0.3751855	2.25570701687732	"GSE22873"	"myd88_liver"
"Prox1"	0.92483854	0.0481	0.4705474	1.31785492362617	"GSE22873"	"myd88_liver"
"Btg2"	0.92379026	0.00279	0.3445073	2.5543957967264	"GSE22873"	"myd88_liver"
"Fam53b"	0.92266263	0.00385	0.3538968	2.4145392704915	"GSE22873"	"myd88_liver"
"Dcp2"	0.92209702	0.00347	0.3538968	2.45967052520913	"GSE22873"	"myd88_liver"
"Tmie"	0.92209571	0.0254	0.4239239	1.59516628338006	"GSE22873"	"myd88_liver"
"Dclk3"	0.92182024	0.00108	0.2623087	2.96657624451305	"GSE22873"	"myd88_liver"
"Mertk"	0.91959523	0.00103	0.2623087	2.98716277529483	"GSE22873"	"myd88_liver"
"Mn1"	0.91909604	0.000622	0.2355644	3.20620961530918	"GSE22873"	"myd88_liver"
"D5Ertd579e"	0.91806736	0.00224	0.321528	2.64975198166584	"GSE22873"	"myd88_liver"
"Fgfr1"	0.9173426	0.00363	0.3538968	2.44009337496389	"GSE22873"	"myd88_liver"
"Gab1"	0.91660963	0.00853	0.3823374	2.06905096883248	"GSE22873"	"myd88_liver"
"Triobp"	0.91399683	0.00197	0.3179906	2.70553377383841	"GSE22873"	"myd88_liver"
"Znf41-ps"	0.91276874	0.0147	0.4011866	1.83268266525182	"GSE22873"	"myd88_liver"
"Dact1"	0.9110599	0.0453	0.4649545	1.34390179798717	"GSE22873"	"myd88_liver"
"Vwce"	0.9108239	0.00485	0.3608765	2.31425826139774	"GSE22873"	"myd88_liver"
"Zfp395"	0.90930787	0.0411	0.4579657	1.38615817812393	"GSE22873"	"myd88_liver"
"Tab3"	0.90882746	0.0255	0.4239239	1.59345981956604	"GSE22873"	"myd88_liver"
"Lgr5"	0.90752335	0.02	0.410596	1.69897000433602	"GSE22873"	"myd88_liver"
"Tnrc18"	0.90733179	4.24e-05	0.1274828	4.37263414340727	"GSE22873"	"myd88_liver"
"Slc30a7"	0.90722079	0.00723	0.3823374	2.14086170270547	"GSE22873"	"myd88_liver"
"Prrc1"	0.90591926	0.0118	0.3935117	1.92811799269387	"GSE22873"	"myd88_liver"
"March5"	0.90566248	0.00307	0.3449019	2.51286162452281	"GSE22873"	"myd88_liver"
"Mapre3"	0.904275	0.0389	0.4537961	1.41005039867429	"GSE22873"	"myd88_liver"
"Pcm1"	0.90351458	0.00129	0.2774755	2.88941028970075	"GSE22873"	"myd88_liver"
"Hectd1"	0.9029797	0.0087	0.3823374	2.06048074738138	"GSE22873"	"myd88_liver"
"Pde4d"	0.90150601	0.00796	0.3823374	2.09908693226233	"GSE22873"	"myd88_liver"
"Neo1"	0.90083616	0.00956	0.3824068	2.0195421077239	"GSE22873"	"myd88_liver"
"Fyco1"	0.89628657	0.000126	0.1959598	3.89962945488244	"GSE22873"	"myd88_liver"
"Zc3h4"	0.89535984	0.00033	0.2141381	3.48148606012211	"GSE22873"	"myd88_liver"
"Safb2"	0.89371888	0.0068	0.3823374	2.16749108729376	"GSE22873"	"myd88_liver"
"Taok3"	0.89137871	0.000611	0.2355644	3.21395878975745	"GSE22873"	"myd88_liver"
"Neurl4"	0.89056687	0.00176	0.3026456	2.75448733218585	"GSE22873"	"myd88_liver"
"Rnf43"	0.88962588	0.000774	0.2505349	3.11125903931711	"GSE22873"	"myd88_liver"
"Zfhx3"	0.88949813	0.00619	0.3780758	2.20830935097988	"GSE22873"	"myd88_liver"
"Glg1"	0.88927716	0.0345	0.4440735	1.46218090492673	"GSE22873"	"myd88_liver"
"Elk3"	0.88827015	0.0178	0.4046661	1.74957999769111	"GSE22873"	"myd88_liver"
"Kdm5b"	0.88660776	0.00728	0.3823374	2.13786862068696	"GSE22873"	"myd88_liver"
"Traf3"	0.88274581	0.003	0.3449019	2.52287874528034	"GSE22873"	"myd88_liver"
"Lzts3"	0.88271715	0.00434	0.3538968	2.36251027048749	"GSE22873"	"myd88_liver"
"Zhx3"	0.8821794	0.0191	0.4077628	1.71896663275227	"GSE22873"	"myd88_liver"
"Ncoa6"	0.87991673	0.013	0.3935117	1.88605664769316	"GSE22873"	"myd88_liver"
"Hdac6"	0.87797408	0.00298	0.3449019	2.52578373592374	"GSE22873"	"myd88_liver"
"Plxnd1"	0.87776733	0.00706	0.3823374	2.1511952989482	"GSE22873"	"myd88_liver"
"Atf7ip"	0.87426741	0.00577	0.3751855	2.23882418684427	"GSE22873"	"myd88_liver"
"Rapgef1"	0.8651488	0.0107	0.3869928	1.97061622231479	"GSE22873"	"myd88_liver"
"Slc44a3"	0.86319608	0.000436	0.2162587	3.36051351073141	"GSE22873"	"myd88_liver"
"Zcchc2"	0.86255334	0.0394	0.4554381	1.40450377817443	"GSE22873"	"myd88_liver"
"Id2"	0.86235313	0.022	0.4134644	1.65757731917779	"GSE22873"	"myd88_liver"
"Ciz1"	0.86132778	0.000253	0.2141381	3.59687947882418	"GSE22873"	"myd88_liver"
"Slc41a1"	0.86073771	0.000663	0.2355644	3.17848647159523	"GSE22873"	"myd88_liver"
"Thoc2"	0.85921145	0.0422	0.4579657	1.37468754903833	"GSE22873"	"myd88_liver"
"Pag1"	0.8589921	0.0335	0.4432679	1.47495519296315	"GSE22873"	"myd88_liver"
"Adcy6"	0.85706021	0.022	0.4134644	1.65757731917779	"GSE22873"	"myd88_liver"
"Smarcc1"	0.85214644	0.0125	0.3935117	1.90308998699194	"GSE22873"	"myd88_liver"
"Myadm"	0.8517414	0.00243	0.3295533	2.61439372640169	"GSE22873"	"myd88_liver"
"Myc"	0.85145459	0.0323	0.4409373	1.4907974776689	"GSE22873"	"myd88_liver"
"Spns2"	0.8509086	0.0113	0.3903702	1.94692155651658	"GSE22873"	"myd88_liver"
"Baz2a"	0.85026276	0.00701	0.3823374	2.15428198203334	"GSE22873"	"myd88_liver"
"Ago1"	0.84949014	0.00943	0.3824068	2.02548830726267	"GSE22873"	"myd88_liver"
"Smad6"	0.8486216	0.00132	0.2804261	2.87942606879415	"GSE22873"	"myd88_liver"
"Fmnl2"	0.84859264	0.00207	0.3185597	2.68402965454308	"GSE22873"	"myd88_liver"
"Bhlhe40"	0.84834114	0.00466	0.3593721	2.33161408331	"GSE22873"	"myd88_liver"
"Fzd4"	0.84815307	0.0164	0.4020339	1.7851561519523	"GSE22873"	"myd88_liver"
"Fam124a"	0.84665726	0.000553	0.2268634	3.2572748686953	"GSE22873"	"myd88_liver"
"Slco1a4"	0.84544014	0.0222	0.4142608	1.65364702554936	"GSE22873"	"myd88_liver"
"Fryl"	0.84482366	0.0454	0.4649545	1.3429441471429	"GSE22873"	"myd88_liver"
"Hapln4"	0.84376506	0.00196	0.3174049	2.70774392864352	"GSE22873"	"myd88_liver"
"Fnbp1l"	0.84342402	0.00419	0.3538968	2.3777859770337	"GSE22873"	"myd88_liver"
"Hook3"	0.84215181	0.0125	0.3935117	1.90308998699194	"GSE22873"	"myd88_liver"
"Dpp8"	0.84214742	0.012	0.3935117	1.92081875395238	"GSE22873"	"myd88_liver"
"Pde7b"	0.8415703	0.000413	0.216052	3.3840499483436	"GSE22873"	"myd88_liver"
"Cbx5"	0.84088798	0.00197	0.3177649	2.70553377383841	"GSE22873"	"myd88_liver"
"Syt1"	0.83981997	0.0465	0.4670656	1.33254704711005	"GSE22873"	"myd88_liver"
"Flt4"	0.8378843	0.0061	0.3774103	2.21467016498923	"GSE22873"	"myd88_liver"
"Ntn1"	0.83725936	0.00845	0.3823374	2.07314329105031	"GSE22873"	"myd88_liver"
"Fasn"	0.83591363	0.0436	0.4619256	1.36051351073141	"GSE22873"	"myd88_liver"
"Stk35"	0.83520775	0.0178	0.4046661	1.74957999769111	"GSE22873"	"myd88_liver"
"Golga4"	0.83485835	0.0231	0.4161509	1.63638802010786	"GSE22873"	"myd88_liver"
"Paqr7"	0.8346258	0.0185	0.4059269	1.73282827159699	"GSE22873"	"myd88_liver"
"Zyx"	0.8334607	0.0171	0.4037801	1.76700388960785	"GSE22873"	"myd88_liver"
"Sulf2"	0.83297192	0.0488	0.4720149	1.31158017799729	"GSE22873"	"myd88_liver"
"Pitpnm2"	0.83226659	0.0277	0.4322201	1.55752023093555	"GSE22873"	"myd88_liver"
"Plxnb2"	0.83214898	0.00657	0.3822225	2.18243463044022	"GSE22873"	"myd88_liver"
"Garem"	0.82941012	0.0315	0.4388959	1.5016894462104	"GSE22873"	"myd88_liver"
"Ints4"	0.82861241	0.00427	0.3538968	2.36957212497498	"GSE22873"	"myd88_liver"
"Cep170b"	0.8278677	0.00292	0.3449019	2.53461714855158	"GSE22873"	"myd88_liver"
"Trim41"	0.82621811	0.00228	0.321528	2.64206515299955	"GSE22873"	"myd88_liver"
"Kank2"	0.82602099	0.000455	0.2162587	3.34198860334289	"GSE22873"	"myd88_liver"
"Tbc1d13"	0.82311341	0.0231	0.4161509	1.63638802010786	"GSE22873"	"myd88_liver"
"Znrf3"	0.82262608	0.000397	0.216052	3.40120949323688	"GSE22873"	"myd88_liver"
"Tbc1d24"	0.82236457	0.0061	0.3774103	2.21467016498923	"GSE22873"	"myd88_liver"
"Zfp444"	0.82223841	9.92e-05	0.1914027	4.00348832784582	"GSE22873"	"myd88_liver"
"Trim32"	0.82136488	0.0151	0.4011866	1.82102305270683	"GSE22873"	"myd88_liver"
"Zc3h18"	0.82103823	0.00561	0.3751855	2.25103713874384	"GSE22873"	"myd88_liver"
"1600002H07Rik"	0.82059368	3.43e-05	0.1189706	4.46470587995723	"GSE22873"	"myd88_liver"
"Fnip2"	0.82003003	0.0349	0.4450678	1.45717457304082	"GSE22873"	"myd88_liver"
"Med15"	0.81736493	0.0159	0.4011866	1.79860287567955	"GSE22873"	"myd88_liver"
"Tbc1d10b"	0.8167544	0.00493	0.3614747	2.30715308072277	"GSE22873"	"myd88_liver"
"Lmtk2"	0.81607275	0.0389	0.4537961	1.41005039867429	"GSE22873"	"myd88_liver"
"Gna13"	0.81553606	0.0173	0.4045251	1.7619538968712	"GSE22873"	"myd88_liver"
"Syde2"	0.81387279	0.0285	0.4325283	1.54515513999149	"GSE22873"	"myd88_liver"
"Tln1"	0.81327608	0.00995	0.3836434	2.00217691925427	"GSE22873"	"myd88_liver"
"Msi2"	0.8118757	0.00288	0.3445073	2.54060751224077	"GSE22873"	"myd88_liver"
"Mxd4"	0.81162232	0.000238	0.2141381	3.62342304294349	"GSE22873"	"myd88_liver"
"Pik3cb"	0.81110253	0.00643	0.3814945	2.19178902707578	"GSE22873"	"myd88_liver"
"Gtf2ird1"	0.81018578	0.00871	0.3823374	2.05998184499234	"GSE22873"	"myd88_liver"
"C87436"	0.80944509	0.000355	0.2141381	3.44977164694491	"GSE22873"	"myd88_liver"
"Ppp1r13b"	0.80884182	0.0309	0.4382471	1.51004152057517	"GSE22873"	"myd88_liver"
"Snrnp200"	0.80790765	0.0057	0.3751855	2.24412514432751	"GSE22873"	"myd88_liver"
"Acacb"	0.80651068	0.0138	0.3935117	1.86012091359876	"GSE22873"	"myd88_liver"
"Yme1l1"	0.80612224	0.0161	0.4011866	1.79317412396815	"GSE22873"	"myd88_liver"
"Ccdc6"	0.80324009	0.0101	0.3851165	1.99567862621736	"GSE22873"	"myd88_liver"
"Arhgef1"	0.80131117	0.00902	0.3823374	2.04479346245806	"GSE22873"	"myd88_liver"
"Atg9a"	0.80065483	0.00755	0.3823374	2.12205304837081	"GSE22873"	"myd88_liver"
"Cdk19"	0.79921568	0.00222	0.321528	2.65364702554936	"GSE22873"	"myd88_liver"
"Prkaa2"	0.7980152	0.00451	0.3567857	2.34582345812204	"GSE22873"	"myd88_liver"
"Camsap2"	0.79775309	0.025	0.4228297	1.60205999132796	"GSE22873"	"myd88_liver"
"C77080"	0.79735325	0.00142	0.2840335	2.84771165561694	"GSE22873"	"myd88_liver"
"Usp2"	0.79615696	0.0188	0.4060806	1.72584215073632	"GSE22873"	"myd88_liver"
"Sts"	0.79267073	0.00527	0.371014	2.27818938478745	"GSE22873"	"myd88_liver"
"Nktr"	0.79264257	0.0194	0.4085006	1.71219827006977	"GSE22873"	"myd88_liver"
"Hivep1"	0.79172497	0.00753	0.3823374	2.1232050237993	"GSE22873"	"myd88_liver"
"Smoc1"	0.79080866	0.00288	0.3445073	2.54060751224077	"GSE22873"	"myd88_liver"
"Lnpep"	0.78875949	0.0348	0.4450115	1.45842075605342	"GSE22873"	"myd88_liver"
"Arsa"	0.78811379	0.00561	0.3751855	2.25103713874384	"GSE22873"	"myd88_liver"
"Ttc7"	0.78735732	0.00211	0.3185597	2.67571754470231	"GSE22873"	"myd88_liver"
"Rcor3"	0.78525547	0.000749	0.2476796	3.12551818230053	"GSE22873"	"myd88_liver"
"Rest"	0.78482017	0.00419	0.3538968	2.3777859770337	"GSE22873"	"myd88_liver"
"Ubr5"	0.78308052	0.0308	0.437927	1.51144928349956	"GSE22873"	"myd88_liver"
"Exoc3l2"	0.7827815	0.000153	0.2074823	3.8153085691824	"GSE22873"	"myd88_liver"
"Zak"	0.78078577	0.0135	0.3935117	1.86966623150499	"GSE22873"	"myd88_liver"
"Zfyve9"	0.78032645	0.0182	0.4053543	1.73992861201493	"GSE22873"	"myd88_liver"
"Itfg2"	0.77992777	0.00353	0.3538968	2.45222529461218	"GSE22873"	"myd88_liver"
"Nfe2l1"	0.7798217	0.00682	0.3823374	2.16621562534352	"GSE22873"	"myd88_liver"
"Smim14"	0.77971359	0.0167	0.4029742	1.77728352885242	"GSE22873"	"myd88_liver"
"Vegfb"	0.77927203	0.0339	0.4440735	1.46980030179692	"GSE22873"	"myd88_liver"
"Prss8"	0.77873455	0.00801	0.3823374	2.09636748391576	"GSE22873"	"myd88_liver"
"Sp1"	0.77817226	0.0159	0.4011866	1.79860287567955	"GSE22873"	"myd88_liver"
"Fam46c"	0.77791724	0.024	0.4182238	1.61978875828839	"GSE22873"	"myd88_liver"
"Irf2bp1"	0.77788891	0.000356	0.2141381	3.44855000202712	"GSE22873"	"myd88_liver"
"Csnk1e"	0.77596064	0.00106	0.2623087	2.97469413473523	"GSE22873"	"myd88_liver"
"Zkscan3"	0.77499682	0.00384	0.3538968	2.41566877563247	"GSE22873"	"myd88_liver"
"Acaca"	0.77490464	0.0202	0.4108452	1.69464863055338	"GSE22873"	"myd88_liver"
"Tnks1bp1"	0.77480667	0.000716	0.2446772	3.14508697769214	"GSE22873"	"myd88_liver"
"Fam160b1"	0.77299049	0.019	0.4070454	1.72124639904717	"GSE22873"	"myd88_liver"
"Marf1"	0.77145972	0.0486	0.4714516	1.31336373073771	"GSE22873"	"myd88_liver"
"Ppm1f"	0.77116923	0.0165	0.4020339	1.78251605578609	"GSE22873"	"myd88_liver"
"Epb41"	0.76928366	0.0271	0.4299298	1.56703070912559	"GSE22873"	"myd88_liver"
"Ces2g"	0.7689081	0.000364	0.2141381	3.43889861635094	"GSE22873"	"myd88_liver"
"Lrp4"	0.76621684	0.0135	0.3935117	1.86966623150499	"GSE22873"	"myd88_liver"
"D18Ertd232e"	0.7649185	0.0442	0.4639752	1.35457773065091	"GSE22873"	"myd88_liver"
"Arap2"	0.76357733	0.027	0.4297482	1.56863623584101	"GSE22873"	"myd88_liver"
"Bicd2"	0.7630142	0.00617	0.3780758	2.20971483596676	"GSE22873"	"myd88_liver"
"Sfmbt1"	0.76237627	0.0107	0.3869928	1.97061622231479	"GSE22873"	"myd88_liver"
"Nags"	0.76080111	0.000161	0.2074823	3.79317412396815	"GSE22873"	"myd88_liver"
"Plekhg3"	0.75993801	0.00579	0.3751855	2.23732143627256	"GSE22873"	"myd88_liver"
"Erlec1"	0.75980015	0.0217	0.4134644	1.66354026615147	"GSE22873"	"myd88_liver"
